voivodeship,date,cases
warmińsko-mazurskie,2020-11-03,565
łódzkie,2020-11-03,1110
mazowieckie,2020-11-03,2959
lubelskie,2020-11-03,1290
lubuskie,2020-11-03,286
śląskie,2020-11-02,1362
opolskie,2020-11-02,355
wielkopolskie,2020-11-02,1256
zachodniopomorskie,2020-11-02,572
świętokrzyskie,2020-11-02,294
kujawsko-pomorskie,2020-11-02,1379
podlaskie,2020-11-02,543
dolnośląskie,2020-11-02,737
podkarpackie,2020-11-02,1049
małopolskie,2020-11-02,1746
pomorskie,2020-11-02,967
warmińsko-mazurskie,2020-11-02,582
łódzkie,2020-11-02,1180
mazowieckie,2020-11-02,2218
lubelskie,2020-11-02,1043
lubuskie,2020-11-02,295
śląskie,2020-11-01,1493
opolskie,2020-11-01,461
wielkopolskie,2020-11-01,843
zachodniopomorskie,2020-11-01,711
świętokrzyskie,2020-11-01,262
kujawsko-pomorskie,2020-11-01,1734
podlaskie,2020-11-01,644
dolnośląskie,2020-11-01,524
podkarpackie,2020-11-01,1241
małopolskie,2020-11-01,1480
pomorskie,2020-11-01,1020
warmińsko-mazurskie,2020-11-01,539
łódzkie,2020-11-01,1670
mazowieckie,2020-11-01,2380
lubelskie,2020-11-01,1768
lubuskie,2020-11-01,401
śląskie,2020-10-31,2274
opolskie,2020-10-31,471
wielkopolskie,2020-10-31,2329
zachodniopomorskie,2020-10-31,735
świętokrzyskie,2020-10-31,831
kujawsko-pomorskie,2020-10-31,1461
podlaskie,2020-10-31,612
dolnośląskie,2020-10-31,1229
podkarpackie,2020-10-31,1404
małopolskie,2020-10-31,1707
pomorskie,2020-10-31,1212
warmińsko-mazurskie,2020-10-31,737
łódzkie,2020-10-31,1700
mazowieckie,2020-10-31,3138
lubelskie,2020-10-31,1559
lubuskie,2020-10-31,498
śląskie,2020-10-30,1761
opolskie,2020-10-30,550
wielkopolskie,2020-10-30,3082
zachodniopomorskie,2020-10-30,668
świętokrzyskie,2020-10-30,607
kujawsko-pomorskie,2020-10-30,1954
podlaskie,2020-10-30,358
dolnośląskie,2020-10-30,999
podkarpackie,2020-10-30,1274
małopolskie,2020-10-30,1914
pomorskie,2020-10-30,1049
warmińsko-mazurskie,2020-10-30,594
łódzkie,2020-10-30,1554
mazowieckie,2020-10-30,3416
lubelskie,2020-10-30,1455
lubuskie,2020-10-30,394
śląskie,2020-10-29,1994
opolskie,2020-10-29,482
wielkopolskie,2020-10-29,2633
zachodniopomorskie,2020-10-29,549
świętokrzyskie,2020-10-29,599
kujawsko-pomorskie,2020-10-29,1403
podlaskie,2020-10-29,858
dolnośląskie,2020-10-29,857
podkarpackie,2020-10-29,1306
małopolskie,2020-10-29,1927
pomorskie,2020-10-29,953
warmińsko-mazurskie,2020-10-29,525
łódzkie,2020-10-29,1794
mazowieckie,2020-10-29,2255
lubelskie,2020-10-29,1700
lubuskie,2020-10-29,321
śląskie,2020-10-28,1868
opolskie,2020-10-28,395
wielkopolskie,2020-10-28,2885
zachodniopomorskie,2020-10-28,360
świętokrzyskie,2020-10-28,536
kujawsko-pomorskie,2020-10-28,1215
podlaskie,2020-10-28,290
dolnośląskie,2020-10-28,1140
podkarpackie,2020-10-28,1039
małopolskie,2020-10-28,2165
pomorskie,2020-10-28,901
warmińsko-mazurskie,2020-10-28,442
łódzkie,2020-10-28,1860
mazowieckie,2020-10-28,2644
lubelskie,2020-10-28,700
lubuskie,2020-10-28,380
śląskie,2020-10-27,1298
opolskie,2020-10-27,385
wielkopolskie,2020-10-27,1577
zachodniopomorskie,2020-10-27,521
świętokrzyskie,2020-10-27,434
kujawsko-pomorskie,2020-10-27,1499
podlaskie,2020-10-27,426
dolnośląskie,2020-10-27,917
podkarpackie,2020-10-27,742
małopolskie,2020-10-27,1884
pomorskie,2020-10-27,643
warmińsko-mazurskie,2020-10-27,301
łódzkie,2020-10-27,1421
mazowieckie,2020-10-27,3529
lubelskie,2020-10-27,400
lubuskie,2020-10-27,323
śląskie,2020-10-26,1002
opolskie,2020-10-26,335
wielkopolskie,2020-10-26,458
zachodniopomorskie,2020-10-26,560
świętokrzyskie,2020-10-26,316
kujawsko-pomorskie,2020-10-26,525
podlaskie,2020-10-26,206
dolnośląskie,2020-10-26,462
podkarpackie,2020-10-26,729
małopolskie,2020-10-26,1144
pomorskie,2020-10-26,672
warmińsko-mazurskie,2020-10-26,370
łódzkie,2020-10-26,695
mazowieckie,2020-10-26,1654
lubelskie,2020-10-26,750
lubuskie,2020-10-26,363
śląskie,2020-10-25,1
opolskie,2020-10-25,381
wielkopolskie,2020-10-25,851
zachodniopomorskie,2020-10-25,474
świętokrzyskie,2020-10-25,405
kujawsko-pomorskie,2020-10-25,1
podlaskie,2020-10-25,212
dolnośląskie,2020-10-25,585
podkarpackie,2020-10-25,912
małopolskie,2020-10-25,1
pomorskie,2020-10-25,499
warmińsko-mazurskie,2020-10-25,340
łódzkie,2020-10-25,818
mazowieckie,2020-10-25,1
lubelskie,2020-10-25,700
lubuskie,2020-10-25,312
śląskie,2020-10-24,1262
opolskie,2020-10-24,558
wielkopolskie,2020-10-24,1472
zachodniopomorskie,2020-10-24,580
świętokrzyskie,2020-10-24,412
kujawsko-pomorskie,2020-10-24,777
podlaskie,2020-10-24,308
dolnośląskie,2020-10-24,645
podkarpackie,2020-10-24,891
małopolskie,2020-10-24,1482
pomorskie,2020-10-24,776
warmińsko-mazurskie,2020-10-24,344
łódzkie,2020-10-24,1001
mazowieckie,2020-10-24,2026
lubelskie,2020-10-24,715
lubuskie,2020-10-24,379
śląskie,2020-10-23,1305
opolskie,2020-10-23,401
wielkopolskie,2020-10-23,1050
zachodniopomorskie,2020-10-23,558
świętokrzyskie,2020-10-23,639
kujawsko-pomorskie,2020-10-23,1207
podlaskie,2020-10-23,226
dolnośląskie,2020-10-23,667
podkarpackie,2020-10-23,852
małopolskie,2020-10-23,1554
pomorskie,2020-10-23,741
warmińsko-mazurskie,2020-10-23,365
łódzkie,2020-10-23,800
mazowieckie,2020-10-23,2075
lubelskie,2020-10-23,743
lubuskie,2020-10-23,449
śląskie,2020-10-22,1168
opolskie,2020-10-22,404
wielkopolskie,2020-10-22,1516
zachodniopomorskie,2020-10-22,515
świętokrzyskie,2020-10-22,486
kujawsko-pomorskie,2020-10-22,905
podlaskie,2020-10-22,224
