voivodeship,date,cases
zachodniopomorskie,2020-11-10,738
świętokrzyskie,2020-11-10,753
kujawsko-pomorskie,2020-11-10,1108
podlaskie,2020-11-10,714
dolnośląskie,2020-11-10,2541
podkarpackie,2020-11-10,1236
małopolskie,2020-11-10,2697
pomorskie,2020-11-10,1116
warmińsko-mazurskie,2020-11-10,649
łódzkie,2020-11-10,1431
mazowieckie,2020-11-10,1982
lubelskie,2020-11-10,985
lubuskie,2020-11-10,650
śląskie,2020-11-09,4373
opolskie,2020-11-09,2650
wielkopolskie,2020-11-09,1983
zachodniopomorskie,2020-11-09,819
świętokrzyskie,2020-11-09,344
kujawsko-pomorskie,2020-11-09,1018
podlaskie,2020-11-09,497
dolnośląskie,2020-11-09,1719
podkarpackie,2020-11-09,1260
małopolskie,2020-11-09,2650
pomorskie,2020-11-09,1122
warmińsko-mazurskie,2020-11-09,694
łódzkie,2020-11-09,1269
mazowieckie,2020-11-09,1630
lubelskie,2020-11-09,1201
lubuskie,2020-11-09,543
śląskie,2020-11-08,4245
opolskie,2020-11-08,2806
wielkopolskie,2020-11-08,1845
zachodniopomorskie,2020-11-08,723
świętokrzyskie,2020-11-08,429
kujawsko-pomorskie,2020-11-08,1439
podlaskie,2020-11-08,1053
dolnośląskie,2020-11-08,1799
podkarpackie,2020-11-08,1822
małopolskie,2020-11-08,2806
pomorskie,2020-11-08,1439
warmińsko-mazurskie,2020-11-08,558
łódzkie,2020-11-08,1576
mazowieckie,2020-11-08,2099
lubelskie,2020-11-08,1728
lubuskie,2020-11-08,470
śląskie,2020-11-07,4290
opolskie,2020-11-07,2451
wielkopolskie,2020-11-07,2451
zachodniopomorskie,2020-11-07,1072
świętokrzyskie,2020-11-07,1231
kujawsko-pomorskie,2020-11-07,1809
podlaskie,2020-11-07,615
dolnośląskie,2020-11-07,2045
podkarpackie,2020-11-07,1946
małopolskie,2020-11-07,2450
pomorskie,2020-11-07,1809
warmińsko-mazurskie,2020-11-07,679
łódzkie,2020-11-07,1549
mazowieckie,2020-11-07,2998
lubelskie,2020-11-07,1794
lubuskie,2020-11-07,510
śląskie,2020-11-06,3942
opolskie,2020-11-06,2815
wielkopolskie,2020-11-06,2063
zachodniopomorskie,2020-11-06,903
świętokrzyskie,2020-11-06,1013
kujawsko-pomorskie,2020-11-06,1952
podlaskie,2020-11-06,580
dolnośląskie,2020-11-06,2512
podkarpackie,2020-11-06,1707
małopolskie,2020-11-06,2815
pomorskie,2020-11-06,1952
warmińsko-mazurskie,2020-11-06,826
łódzkie,2020-11-06,1593
mazowieckie,2020-11-06,2951
lubelskie,2020-11-06,1542
lubuskie,2020-11-06,497
śląskie,2020-11-05,3850
opolskie,2020-11-05,3888
wielkopolskie,2020-11-05,3888
zachodniopomorskie,2020-11-05,866
świętokrzyskie,2020-11-05,950
kujawsko-pomorskie,2020-11-05,1663
podlaskie,2020-11-05,902
dolnośląskie,2020-11-05,2451
podkarpackie,2020-11-05,1553
małopolskie,2020-11-05,2342
pomorskie,2020-11-05,1663
warmińsko-mazurskie,2020-11-05,795
łódzkie,2020-11-05,1713
mazowieckie,2020-11-05,2932
lubelskie,2020-11-05,805
lubuskie,2020-11-05,578
śląskie,2020-11-04,2324
opolskie,2020-11-04,3952
wielkopolskie,2020-11-04,3952
zachodniopomorskie,2020-11-04,747
świętokrzyskie,2020-11-04,767
kujawsko-pomorskie,2020-11-04,1429
podlaskie,2020-11-04,625
dolnośląskie,2020-11-04,2324
podkarpackie,2020-11-04,1280
małopolskie,2020-11-04,2245
pomorskie,2020-11-04,1429
warmińsko-mazurskie,2020-11-04,622
łódzkie,2020-11-04,1766
mazowieckie,2020-11-04,2797
lubelskie,2020-11-04,1543
lubuskie,2020-11-04,434
śląskie,2020-11-03,2407
opolskie,2020-11-03,2114
wielkopolskie,2020-11-03,2114
zachodniopomorskie,2020-11-03,454
świętokrzyskie,2020-11-03,551
kujawsko-pomorskie,2020-11-03,551
podlaskie,2020-11-03,316
dolnośląskie,2020-11-03,1964
podkarpackie,2020-11-03,929
małopolskie,2020-11-03,2106
pomorskie,2020-11-03,1317
warmińsko-mazurskie,2020-11-03,565
łódzkie,2020-11-03,1110
mazowieckie,2020-11-03,2959
lubelskie,2020-11-03,1290
lubuskie,2020-11-03,286
śląskie,2020-11-02,1362
opolskie,2020-11-02,1746
wielkopolskie,2020-11-02,1256
zachodniopomorskie,2020-11-02,572
świętokrzyskie,2020-11-02,294
kujawsko-pomorskie,2020-11-02,1379
podlaskie,2020-11-02,543
dolnośląskie,2020-11-02,737
podkarpackie,2020-11-02,1049
małopolskie,2020-11-02,1746
pomorskie,2020-11-02,1379
warmińsko-mazurskie,2020-11-02,582
łódzkie,2020-11-02,1180
mazowieckie,2020-11-02,2218
lubelskie,2020-11-02,1043
lubuskie,2020-11-02,295
śląskie,2020-11-01,1493
opolskie,2020-11-01,1480
wielkopolskie,2020-11-01,843
zachodniopomorskie,2020-11-01,711
świętokrzyskie,2020-11-01,262
kujawsko-pomorskie,2020-11-01,1734
podlaskie,2020-11-01,644
dolnośląskie,2020-11-01,524
podkarpackie,2020-11-01,1241
małopolskie,2020-11-01,1480
pomorskie,2020-11-01,1734
warmińsko-mazurskie,2020-11-01,539
łódzkie,2020-11-01,1670
mazowieckie,2020-11-01,2380
lubelskie,2020-11-01,1768
lubuskie,2020-11-01,401
śląskie,2020-10-31,2274
opolskie,2020-10-31,2329
wielkopolskie,2020-10-31,2329
zachodniopomorskie,2020-10-31,735
świętokrzyskie,2020-10-31,831
kujawsko-pomorskie,2020-10-31,1461
podlaskie,2020-10-31,612
dolnośląskie,2020-10-31,1229
podkarpackie,2020-10-31,1404
małopolskie,2020-10-31,1707
pomorskie,2020-10-31,1461
warmińsko-mazurskie,2020-10-31,737
łódzkie,2020-10-31,1700
mazowieckie,2020-10-31,3138
lubelskie,2020-10-31,1559
lubuskie,2020-10-31,498
śląskie,2020-10-30,1761
opolskie,2020-10-30,3082
wielkopolskie,2020-10-30,3082
zachodniopomorskie,2020-10-30,668
świętokrzyskie,2020-10-30,607
kujawsko-pomorskie,2020-10-30,1954
podlaskie,2020-10-30,358
dolnośląskie,2020-10-30,999
podkarpackie,2020-10-30,1274
małopolskie,2020-10-30,1914
pomorskie,2020-10-30,1954
warmińsko-mazurskie,2020-10-30,594
łódzkie,2020-10-30,1554
mazowieckie,2020-10-30,3416
lubelskie,2020-10-30,1455
lubuskie,2020-10-30,394
śląskie,2020-10-29,1994
opolskie,2020-10-29,2633
wielkopolskie,2020-10-29,2633
zachodniopomorskie,2020-10-29,549
świętokrzyskie,2020-10-29,599
kujawsko-pomorskie,2020-10-29,1403
podlaskie,2020-10-29,858
dolnośląskie,2020-10-29,857
podkarpackie,2020-10-29,1306
małopolskie,2020-10-29,1927
pomorskie,2020-10-29,1403
warmińsko-mazurskie,2020-10-29,525
łódzkie,2020-10-29,1794
mazowieckie,2020-10-29,2255
lubelskie,2020-10-29,1700
lubuskie,2020-10-29,321
śląskie,2020-10-28,1868
opolskie,2020-10-28,2885
wielkopolskie,2020-10-28,2885
zachodniopomorskie,2020-10-28,360
świętokrzyskie,2020-10-28,536
kujawsko-pomorskie,2020-10-28,1215
podlaskie,2020-10-28,290
dolnośląskie,2020-10-28,1140
podkarpackie,2020-10-28,1039
małopolskie,2020-10-28,2165
pomorskie,2020-10-28,1215
warmińsko-mazurskie,2020-10-28,442
łódzkie,2020-10-28,1860
mazowieckie,2020-10-28,2644
lubelskie,2020-10-28,700
lubuskie,2020-10-28,380
śląskie,2020-10-27,1298
opolskie,2020-10-27,1884
wielkopolskie,2020-10-27,1577
zachodniopomorskie,2020-10-27,521
świętokrzyskie,2020-10-27,434
kujawsko-pomorskie,2020-10-27,1499
podlaskie,2020-10-27,426
dolnośląskie,2020-10-27,917
podkarpackie,2020-10-27,742
małopolskie,2020-10-27,1884
pomorskie,2020-10-27,1499
warmińsko-mazurskie,2020-10-27,301
łódzkie,2020-10-27,1421
mazowieckie,2020-10-27,3529
